sample	sample_description	batch	condition	condition_description	sample_type	sample_group	time
shIFI6_1_Day0_rep1	shIFI6_1_Day0_rep1	1	shIFI6_1	shIFI6_1_Day0	c	1	Day0
shIFI6_1_Day0_rep2	shIFI6_1_Day0_rep2	1	shIFI6_1	shIFI6_1_Day0	c	1	Day0
shIFI6_1_Day1_rep1	shIFI6_1_Day1_rep1	1	shIFI6_1	shIFI6_1_Day1	s1	1	Day1
shIFI6_1_Day1_rep2	shIFI6_1_Day1_rep2	1	shIFI6_1	shIFI6_1_Day1	s1	1	Day1
shIFI6_1_Day2_rep1	shIFI6_1_Day2_rep1	1	shIFI6_1	shIFI6_1_Day2	s1	1	Day2
shIFI6_1_Day2_rep2	shIFI6_1_Day2_rep2	1	shIFI6_1	shIFI6_1_Day2	s1	1	Day2
shIFI6_1_Day3_rep1	shIFI6_1_Day3_rep1	1	shIFI6_1	shIFI6_1_Day3	s1	1	Day3
shIFI6_1_Day3_rep2	shIFI6_1_Day3_rep2	1	shIFI6_1	shIFI6_1_Day3	s1	1	Day3
shIFI6_1_Day4_rep1	shIFI6_1_Day4_rep1	1	shIFI6_1	shIFI6_1_Day4	s1	1	Day4
shIFI6_1_Day5_rep1	shIFI6_1_Day5_rep1	1	shIFI6_1	shIFI6_1_Day5	s1	1	Day5
shIFI6_1_Day5_rep2	shIFI6_1_Day5_rep2	1	shIFI6_1	shIFI6_1_Day5	s1	1	Day5
shIFI6_2_Day0_rep1	shIFI6_2_Day0_rep1	1	shIFI6_2	shIFI6_2_Day0	c	2	Day0
shIFI6_2_Day0_rep2	shIFI6_2_Day0_rep2	1	shIFI6_2	shIFI6_2_Day0	c	2	Day0
shIFI6_2_Day1_rep1	shIFI6_2_Day1_rep1	1	shIFI6_2	shIFI6_2_Day1	s2	2	Day1
shIFI6_2_Day1_rep2	shIFI6_2_Day1_rep2	1	shIFI6_2	shIFI6_2_Day1	s2	2	Day1
shIFI6_2_Day2_rep1	shIFI6_2_Day2_rep1	1	shIFI6_2	shIFI6_2_Day2	s2	2	Day2
shIFI6_2_Day2_rep2	shIFI6_2_Day2_rep2	1	shIFI6_2	shIFI6_2_Day2	s2	2	Day2
shIFI6_2_Day3_rep1	shIFI6_2_Day3_rep1	1	shIFI6_2	shIFI6_2_Day3	s2	2	Day3
shIFI6_2_Day3_rep2	shIFI6_2_Day3_rep2	1	shIFI6_2	shIFI6_2_Day3	s2	2	Day3
shIFI6_2_Day4_rep1	shIFI6_2_Day4_rep1	1	shIFI6_2	shIFI6_2_Day4	s2	2	Day4
shIFI6_2_Day4_rep2	shIFI6_2_Day4_rep2	1	shIFI6_2	shIFI6_2_Day4	s2	2	Day4
shIFI6_2_Day5_rep1	shIFI6_2_Day5_rep1	1	shIFI6_2	shIFI6_2_Day5	s2	2	Day5
shIFI6_2_Day5_rep2	shIFI6_2_Day5_rep2	1	shIFI6_2	shIFI6_2_Day5	s2	2	Day5
shSCR_Day0_rep1	shSCR_Day0_rep1	1	shSCR	shSCR_Day0	c	3	Day0
shSCR_Day1_rep1	shSCR_Day1_rep1	1	shSCR	shSCR_Day1	t	3	Day1
shSCR_Day1_rep2	shSCR_Day1_rep2	1	shSCR	shSCR_Day1	t	3	Day1
shSCR_Day2_rep1	shSCR_Day2_rep1	1	shSCR	shSCR_Day2	t	3	Day2
shSCR_Day3_rep1	shSCR_Day3_rep1	1	shSCR	shSCR_Day3	t	3	Day3
shSCR_Day3_rep2	shSCR_Day3_rep2	1	shSCR	shSCR_Day3	t	3	Day3
shSCR_Day4_rep1	shSCR_Day4_rep1	1	shSCR	shSCR_Day4	t	3	Day4
shSCR_Day4_rep2	shSCR_Day4_rep2	1	shSCR	shSCR_Day4	t	3	Day4
shSCR_Day5_rep1	shSCR_Day5_rep1	1	shSCR	shSCR_Day5	t	3	Day5
shSCR_Day5_rep2	shSCR_Day5_rep2	1	shSCR	shSCR_Day5	t	3	Day5
