baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
AIM1	319.890310688228	-1.17228727080471	0.231013286733404	-5.07454479082651	3.8842473244484e-07	0.000264012290642758	shIFI6_2_Day5_vs_shSCR_Day5	AIM1	AIM1	0.443717306426807
AOAH	76.6753250802489	1.45297298529114	0.404532429497007	3.59173425749268	0.000328484718128689	0.0395170022853221	shIFI6_2_Day5_vs_shSCR_Day5	AOAH	AOAH	2.7377163615014
ARHGEF5	29.9194723860215	-2.55107283406691	0.68461103653397	-3.72630982839893	0.000194303545628538	0.0275141916591077	shIFI6_2_Day5_vs_shSCR_Day5	ARHGEF5	ARHGEF5	0.170628100404942
BCL2L2-PABPN1	603.916865916456	1.01657521793849	0.288934906724782	3.51835376854208	0.000434233061435936	0.0472237138972809	shIFI6_2_Day5_vs_shSCR_Day5	BCL2L2-PABPN1	BCL2L2-PABPN1	2.02311063675934
C3orf18	58.3096152916694	-1.49681471222703	0.369706044635109	-4.04866172449074	5.15113338737994e-05	0.0116862966992151	shIFI6_2_Day5_vs_shSCR_Day5	C3orf18	C3orf18	0.354334854031616
C4orf32	73.5964770607335	2.33261463608744	0.413142268229264	5.6460324093322	1.6419290611118e-08	2.02912578697762e-05	shIFI6_2_Day5_vs_shSCR_Day5	C4orf32	C4orf32	5.03717424076862
CALCRL	630.108749888492	-1.05548209021777	0.215636300586752	-4.89473287821101	9.84393458354007e-07	0.000581819333602799	shIFI6_2_Day5_vs_shSCR_Day5	CALCRL	CALCRL	0.481136418392343
CAST	350.111340690532	-1.17511113574949	0.241688265626696	-4.86209428787298	1.1615026968134e-06	0.000657894485853392	shIFI6_2_Day5_vs_shSCR_Day5	CAST	CAST	0.442849644009499
CCL23	44.5041646211542	1.95260498098735	0.456286791714207	4.27933706704872	1.87450801869613e-05	0.0065338620528603	shIFI6_2_Day5_vs_shSCR_Day5	CCL23	CCL23	3.87072813266172
CD7	240.399478046233	-1.61334265598164	0.258707217459665	-6.23617180774316	4.48408611629723e-10	1.52391666662361e-06	shIFI6_2_Day5_vs_shSCR_Day5	CD7	CD7	0.326840199762989
CROCC	211.175809350016	-1.30915672147755	0.270216527385217	-4.84484326012832	1.26711670659725e-06	0.00068900738037932	shIFI6_2_Day5_vs_shSCR_Day5	CROCC	CROCC	0.403556696083421
CYP51A1	86.9084817742853	2.42181287076184	0.595556795671386	4.06646836769225	4.77309605598934e-05	0.0116862966992151	shIFI6_2_Day5_vs_shSCR_Day5	CYP51A1	CYP51A1	5.35843933162853
DYX1C1	17.0613781142997	6.37382007738025	1.59144587764091	4.00504985242008	6.20044033158473e-05	0.0131701227918067	shIFI6_2_Day5_vs_shSCR_Day5	DYX1C1	DYX1C1	82.9298787207175
EFCC1	1077.74677325419	-1.0454872594458	0.20472758674013	-5.10672389633982	3.27792162510132e-07	0.00024755592539793	shIFI6_2_Day5_vs_shSCR_Day5	EFCC1	EFCC1	0.484481250917786
FRY	241.731001601425	1.37994504392688	0.335333092509543	4.11514722152754	3.86932369345954e-05	0.0105712042832923	shIFI6_2_Day5_vs_shSCR_Day5	FRY	FRY	2.60258456965995
GDF11	888.805252431657	1.14216589569621	0.291565734977025	3.91735296257021	8.95266186680404e-05	0.0160134849233334	shIFI6_2_Day5_vs_shSCR_Day5	GDF11	GDF11	2.20712126266235
GGH	120.24859440598	1.47488542666024	0.361030497570228	4.08521007667321	4.40369557193088e-05	0.011512276462467	shIFI6_2_Day5_vs_shSCR_Day5	GGH	GGH	2.77961568443886
GMPR	213.668974681483	1.17146905971697	0.291879196132485	4.01354079098271	5.98146601424656e-05	0.0129066744440743	shIFI6_2_Day5_vs_shSCR_Day5	GMPR	GMPR	2.25240937328684
GPHN	124.827260666353	-1.88859046902781	0.31209111234036	-6.05140740748859	1.43585805997405e-09	2.7884363524696e-06	shIFI6_2_Day5_vs_shSCR_Day5	GPHN	GPHN	0.270070792788237
HOXA4	34.5393159654592	-1.7378547972286	0.428309564812274	-4.05747370594044	4.96064001601622e-05	0.0116862966992151	shIFI6_2_Day5_vs_shSCR_Day5	HOXA4	HOXA4	0.299815152392441
IFITM3	172.314194195416	-1.08133053232859	0.26690500226264	-4.05136855121409	5.09189294220514e-05	0.0116862966992151	shIFI6_2_Day5_vs_shSCR_Day5	IFITM3	IFITM3	0.472592771398384
IL12RB2	182.394970789922	1.17056706718308	0.277073851783102	4.22474751641096	2.39208812649423e-05	0.0079312307296494	shIFI6_2_Day5_vs_shSCR_Day5	IL12RB2	IL12RB2	2.25100157648768
IL17RB	36.2959490039556	5.05168905694029	1.16484851058611	4.33677771060415	1.44586715197024e-05	0.00531784078258968	shIFI6_2_Day5_vs_shSCR_Day5	IL17RB	IL17RB	33.1672859401253
KIAA1804	27.2593743856426	-2.19669062038996	0.531261574942433	-4.13485695935753	3.55175789820101e-05	0.0103831366253219	shIFI6_2_Day5_vs_shSCR_Day5	KIAA1804	KIAA1804	0.218137450044635
KLHL33	88.5827568266394	-1.11942717732095	0.308799169078532	-3.62509776390062	0.000288852159059938	0.0363579282431555	shIFI6_2_Day5_vs_shSCR_Day5	KLHL33	KLHL33	0.460276542032766
LILRA1	78.1886415871223	-1.09833949662609	0.290802536270928	-3.77692543782637	0.000158776238384331	0.0242517324111977	shIFI6_2_Day5_vs_shSCR_Day5	LILRA1	LILRA1	0.467053752892263
