baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
ABI3	130.808250463029	1.27615846556339	0.274389697967343	4.65089788361981	3.30492954944304e-06	0.00306842052856102	shIFI6_Day1_vs_shIFI6_Day0	ABI3	ABI3	2.42193217822146
ACVRL1	24.4016300063931	1.58729692404958	0.449102420445243	3.53437623978049	0.000408738800675856	0.0490293685361892	shIFI6_Day1_vs_shIFI6_Day0	ACVRL1	ACVRL1	3.00485822633044
ADM2	175.836547453063	2.94673717633765	0.524705609203132	5.6159818470644	1.95449181092389e-08	9.67799195042478e-05	shIFI6_Day1_vs_shIFI6_Day0	ADM2	ADM2	7.71003375487317
AKAP5	124.547701139335	1.24945732049054	0.333979878640158	3.74111555935007	0.00018320525376436	0.0325049244289589	shIFI6_Day1_vs_shIFI6_Day0	AKAP5	AKAP5	2.37751974163086
ALOX5AP	62.1439885107925	1.27206591493195	0.322153621524202	3.94863142904754	7.85992590118886e-05	0.0191408523380591	shIFI6_Day1_vs_shIFI6_Day0	ALOX5AP	ALOX5AP	2.41507152204951
ANGPT4	19.4572221338882	2.65493054482852	0.738595685706464	3.59456546552812	0.000324933436967106	0.0459703448204415	shIFI6_Day1_vs_shIFI6_Day0	ANGPT4	ANGPT4	6.29816059507406
APOBEC3H	88.5956735038047	1.53451554898682	0.431445344874161	3.5566858403221	0.000375562831558601	0.0490293685361892	shIFI6_Day1_vs_shIFI6_Day0	APOBEC3H	APOBEC3H	2.89691137493643
AQP1	15.047086135615	3.11532902695011	0.847301212188876	3.67676687125482	0.000236208725502667	0.0381400067102404	shIFI6_Day1_vs_shIFI6_Day0	AQP1	AQP1	8.66577649139752
BBC3	461.992759593557	2.18612354551517	0.52466563220206	4.16669858160873	3.09042687470978e-05	0.0111938678833825	shIFI6_Day1_vs_shIFI6_Day0	BBC3	BBC3	4.55081060449643
C18orf61	59.8911808142519	2.02209810962773	0.563738809623189	3.58694146138232	0.00033457939743525	0.0464502518588845	shIFI6_Day1_vs_shIFI6_Day0	C18orf61	C18orf61	4.06174061036725
CCNE1	126.21730246526	1.79396423328674	0.458608350670472	3.91175657980064	9.16272407810416e-05	0.0209403486431134	shIFI6_Day1_vs_shIFI6_Day0	CCNE1	CCNE1	3.46766428405951
CDKN1A	4294.01381033971	1.61991196956948	0.392877089962652	4.12320293281411	3.73640243044989e-05	0.0123342795787407	shIFI6_Day1_vs_shIFI6_Day0	CDKN1A	CDKN1A	3.07356281406093
CEACAM1	404.091705752082	1.8100022279182	0.45784382531657	3.9533179827569	7.707489965315e-05	0.0190824605724591	shIFI6_Day1_vs_shIFI6_Day0	CEACAM1	CEACAM1	3.50642830015029
CEP170B	288.545518960426	2.41936619671223	0.68639309577419	3.5247531066486	0.000423877656103544	0.0494314772371803	shIFI6_Day1_vs_shIFI6_Day0	CEP170B	CEP170B	5.34935962773381
CHAC1	94.7809428758679	1.70806093589566	0.371022823100313	4.60365462594158	4.15140709229871e-06	0.00342606401978318	shIFI6_Day1_vs_shIFI6_Day0	CHAC1	CHAC1	3.26721396062007
