baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
ABCA6	30.2948135449225	2.54333322917343	0.557823937985664	4.55938344696638	5.13040209330097e-06	0.00507011986870468	shIFI6_Day3_vs_shSCR_Day3	ABCA6	ABCA6	5.82934274340005
ABCA9	33.6501104966666	2.07082916983515	0.525383408396855	3.94155798744014	8.0954057864453e-05	0.0467415025400541	shIFI6_Day3_vs_shSCR_Day3	ABCA9	ABCA9	4.20128067106595
ANGPT2	188.650862219784	1.01068451028246	0.207777135011844	4.86427204911092	1.14878816203003e-06	0.00129747417271564	shIFI6_Day3_vs_shSCR_Day3	ANGPT2	ANGPT2	2.01486685992736
C4orf32	73.5964770607335	1.76365063544501	0.317317680372953	5.55799674752488	2.72888469270161e-08	8.30748092394459e-05	shIFI6_Day3_vs_shSCR_Day3	C4orf32	C4orf32	3.39556261318901
CD7	240.399478046233	-1.31367953630739	0.206089174795987	-6.37432576265996	1.83769605000532e-10	9.68588331422804e-07	shIFI6_Day3_vs_shSCR_Day3	CD7	CD7	0.402293536408711
CHRDL1	371.895746894208	1.58590061522325	0.286072101020392	5.54370946892932	2.9613003401582e-08	8.30748092394459e-05	shIFI6_Day3_vs_shSCR_Day3	CHRDL1	CHRDL1	3.00195138864438
CYP51A1	86.9084817742853	2.40936950791935	0.580184272361234	4.15276597918398	3.28480614315311e-05	0.0225823281458856	shIFI6_Day3_vs_shSCR_Day3	CYP51A1	CYP51A1	5.31242109450619
DYSF	52.3526808599739	-1.23925909510311	0.307249035478655	-4.03340271897843	5.49749452322433e-05	0.0347705533604893	shIFI6_Day3_vs_shSCR_Day3	DYSF	DYSF	0.423590137648191
IL17RB	36.2959490039556	3.84820590496882	0.782648820169325	4.91689989916073	8.79254819851817e-07	0.00106944440088438	shIFI6_Day3_vs_shSCR_Day3	IL17RB	IL17RB	14.402086231032
KLHL33	88.5827568266394	-1.10625328185884	0.247169809325921	-4.47568125280269	7.61680490260988e-06	0.00708452465412162	shIFI6_Day3_vs_shSCR_Day3	KLHL33	KLHL33	0.464498781814396
LINC00654	54.349631801175	2.60744443339268	0.405989047468029	6.42245018592038	1.34098140003932e-10	9.68588331422804e-07	shIFI6_Day3_vs_shSCR_Day3	LINC00654	LINC00654	6.09423204510328
LOC100506289	41.6444067976558	1.50403938637214	0.385053839091901	3.90604957976581	9.38172705978787e-05	0.0488946143772587	shIFI6_Day3_vs_shSCR_Day3	LOC100506289	LOC100506289	2.83635750442973
LOC102724219	144.939433064964	19.8712121315306	5.09408598228046	3.90083956192567	9.58596664365685e-05	0.0488946143772587	shIFI6_Day3_vs_shSCR_Day3	LOC102724219	LOC102724219	959027.149111786
MGST1	119.449183888915	1.61514964660631	0.291924875744783	5.53275784561217	3.15234540498783e-08	8.30748092394459e-05	shIFI6_Day3_vs_shSCR_Day3	MGST1	MGST1	3.06343373887808
MSRB3	68.2210853140011	-2.80978220672377	0.689012962327004	-4.07798163511219	4.54283538818385e-05	0.029929713815818	shIFI6_Day3_vs_shSCR_Day3	MSRB3	MSRB3	0.142616992718418
PTPRM	216.587117750892	-1.05238282665552	0.213061372581001	-4.9393412513356	7.83869287097134e-07	0.00103287843063166	shIFI6_Day3_vs_shSCR_Day3	PTPRM	PTPRM	0.48217112869047
RAB7B	248.922804395461	2.00296691744262	0.457241856516205	4.38054147689699	1.18384754493273e-05	0.00985210388446124	shIFI6_Day3_vs_shSCR_Day3	RAB7B	RAB7B	4.00823450611306
SNORD3B-1	249.114631451811	20.7903892106779	3.94843098367523	5.26548122447517	1.39822609846783e-07	0.000276359388362167	shIFI6_Day3_vs_shSCR_Day3	SNORD3B-1	SNORD3B-1	1813555.17915252
SNORD3B-2	328.764111138475	-11.4633369060723	2.91357956258006	-3.9344513028919	8.33869725318568e-05	0.0467415025400541	shIFI6_Day3_vs_shSCR_Day3	SNORD3B-2	SNORD3B-2	0.000354153665298588
SPSB4	44.8471323073171	1.83769689616599	0.467869198700011	3.92780055039334	8.57262568720952e-05	0.0467415025400541	shIFI6_Day3_vs_shSCR_Day3	SPSB4	SPSB4	3.57438960711997
TRO	40.0787799411287	-2.26669479455811	0.454811742926062	-4.98380886116786	6.23446681246519e-07	0.000985793892386995	shIFI6_Day3_vs_shSCR_Day3	TRO	TRO	0.207805422461955
