baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
A2M-AS1	12.7238191202219	3.71505876178924	1.16886009524712	3.17836050430295	0.00148110468714158	0.0146437491498944	shSCR_Day5_vs_shSCR_Day0	A2M-AS1	A2M-AS1	13.1324006202185
ABAT	153.953954414478	1.04783335135632	0.350328874479757	2.99099910880131	0.00278066304828349	0.0226621844329595	shSCR_Day5_vs_shSCR_Day0	ABAT	ABAT	2.06742264650026
ABCA1	917.13437536957	1.4517324883567	0.337124836273442	4.30621636899869	1.66070625246725e-05	0.000560551676894881	shSCR_Day5_vs_shSCR_Day0	ABCA1	ABCA1	2.73536335618807
ABCA12	71.0339190005321	8.68250525338564	2.50623807505565	3.46435773193369	0.000531499192716278	0.00699025211608939	shSCR_Day5_vs_shSCR_Day0	ABCA12	ABCA12	410.860621515296
ABCA7	623.361861629417	1.39786725548723	0.341385471589944	4.0946887662703	4.22735874906015e-05	0.00112148063526008	shSCR_Day5_vs_shSCR_Day0	ABCA7	ABCA7	2.63511743124597
ABCB1	215.864023099923	1.26489703685142	0.428422737694936	2.95245075846584	0.00315262347813764	0.0248567916268634	shSCR_Day5_vs_shSCR_Day0	ABCB1	ABCB1	2.40310058697015
ABCB6	92.2602391344412	1.76867551788244	0.636079177086593	2.78059018687489	0.00542601858480319	0.0371313188755988	shSCR_Day5_vs_shSCR_Day0	ABCB6	ABCB6	3.40740992037437
ABCB9	191.450263915946	1.16700637315264	0.425222721162464	2.74445911536031	0.00606107038365719	0.0401191044103615	shSCR_Day5_vs_shSCR_Day0	ABCB9	ABCB9	2.2454527634865
ABHD17C	196.600497825414	1.84298862912933	0.666090352013904	2.76687482945385	0.00565964809259524	0.0383201651054275	shSCR_Day5_vs_shSCR_Day0	ABHD17C	ABHD17C	3.58752436279268
ABHD2	2584.8746780951	1.01560522903052	0.181484433375871	5.59610105472303	2.19225950319758e-08	3.71382976223991e-06	shSCR_Day5_vs_shSCR_Day0	ABHD2	ABHD2	2.02175086545202
ABHD4	451.574306376884	1.28771393735783	0.29383358762068	4.38245997601943	1.17346728656434e-05	0.000428786053555221	shSCR_Day5_vs_shSCR_Day0	ABHD4	ABHD4	2.44140888620867
AC092295.7	7.08875350373955	-3.5976256344952	1.14926349567208	-3.13037492972084	0.00174583323434415	0.0166041708408189	shSCR_Day5_vs_shSCR_Day0	AC092295.7	AC092295.7	0.0826050827982587
AC147651.4	28.620080877559	2.1434440123206	0.702508115379604	3.05113060674377	0.00227981381460451	0.0199520259476318	shSCR_Day5_vs_shSCR_Day0	AC147651.4	AC147651.4	4.4181549368085
ACAN	166.084939439438	2.83877561533776	0.860516672046023	3.29891994839344	0.000970575849635545	0.0108970717576705	shSCR_Day5_vs_shSCR_Day0	ACAN	ACAN	7.15412643502454
ACER2	177.275224401556	3.03372252206569	0.828714842486865	3.66075562609919	0.000251472521661446	0.00408820963074583	shSCR_Day5_vs_shSCR_Day0	ACER2	ACER2	8.18919999815542
ACKR2	56.0880406968333	2.36451412997616	0.498538707057189	4.74288976262965	2.10690933936922e-06	0.000120897579240176	shSCR_Day5_vs_shSCR_Day0	ACKR2	ACKR2	5.14979188194942
ACKR4	10.0657516095137	6.88476532714056	2.3700469455072	2.90490673199184	0.00367362551437556	0.0280648323935999	shSCR_Day5_vs_shSCR_Day0	ACKR4	ACKR4	118.173711739401
ACOT11	343.967164952071	-1.54566764592478	0.32198091414474	-4.80049461947285	1.58274228089779e-06	9.95934348336554e-05	shSCR_Day5_vs_shSCR_Day0	ACOT11	ACOT11	0.342537146284576
ACP5	257.643662001763	4.73312984029131	0.954884982874644	4.95675387630708	7.16806854005189e-07	5.21384440802929e-05	shSCR_Day5_vs_shSCR_Day0	ACP5	ACP5	26.5958610490785
ACSM3	166.473894197739	3.63997996762095	0.751171392584452	4.84573827432029	1.26141718100366e-06	8.49701581969118e-05	shSCR_Day5_vs_shSCR_Day0	ACSM3	ACSM3	12.4664601717415
ACTA1	59.992904939196	3.63154813301626	1.04790500899116	3.46553180093339	0.000529183939796703	0.00698946869503011	shSCR_Day5_vs_shSCR_Day0	ACTA1	ACTA1	12.3938124173377
ACTA2	442.441967091113	1.98815611305101	0.327447570240919	6.07167770885648	1.26580779864653e-09	4.08565838008974e-07	shSCR_Day5_vs_shSCR_Day0	ACTA2	ACTA2	3.96729619815538
ACTC1	9.79832871397729	4.20454918947206	1.29162400679201	3.25524236725427	0.0011329563561268	0.012206462326476	shSCR_Day5_vs_shSCR_Day0	ACTC1	ACTC1	18.4372194222534
ACVR2A	12.51097125397	4.26729761505679	1.51463785721862	2.81737155500191	0.00484184768722815	0.0341131178800481	shSCR_Day5_vs_shSCR_Day0	ACVR2A	ACVR2A	19.2568205157569
ACVR2B	123.729708325943	1.36590175600705	0.470702332713262	2.90183766061579	0.00370980733570676	0.0282854552421776	shSCR_Day5_vs_shSCR_Day0	ACVR2B	ACVR2B	2.57737374216507
ACY3	514.763642628458	1.6901070424886	0.302102952542741	5.59447376552694	2.21291926005445e-08	3.71382976223991e-06	shSCR_Day5_vs_shSCR_Day0	ACY3	ACY3	3.22680644478048
ADAM11	52.7427241179116	2.80451254874594	0.705016170331708	3.97794074343916	6.9514689261311e-05	0.00158381041283161	shSCR_Day5_vs_shSCR_Day0	ADAM11	ADAM11	6.98622229542711
ADAM22	81.6226537850182	-1.34592875362546	0.450971522897208	-2.98450940977097	0.00284033465063077	0.0230273703517648	shSCR_Day5_vs_shSCR_Day0	ADAM22	ADAM22	0.393400649982755
ADAM9	291.805128018773	1.85163326288428	0.451206803179066	4.10373524919889	4.06532664089313e-05	0.00108969040912383	shSCR_Day5_vs_shSCR_Day0	ADAM9	ADAM9	3.6090853536377
ADARB2	79.528781626605	2.56521096598452	0.512885137582209	5.00153109929676	5.68767897058949e-07	4.42810101966548e-05	shSCR_Day5_vs_shSCR_Day0	ADARB2	ADARB2	5.91841542643369
ADCY4	51.2124651953127	2.23281970008389	0.475523856015307	4.69549460419083	2.65962389297245e-06	0.000140633286600076	shSCR_Day5_vs_shSCR_Day0	ADCY4	ADCY4	4.70051783267502
ADM	51.5132426111688	3.85142199417826	0.708072408480155	5.43930528580426	5.34887318151905e-08	7.3991153751138e-06	shSCR_Day5_vs_shSCR_Day0	ADM	ADM	14.4342275070532
ADM2	175.836547453063	2.67180412792628	0.801488152547159	3.33355411360129	0.000857439907386726	0.00994335066253185	shSCR_Day5_vs_shSCR_Day0	ADM2	ADM2	6.37225556203969
ADORA2A	93.1102181995286	2.93020734898271	1.03794325821733	2.82309011189625	0.00475632010640404	0.033756146316316	shSCR_Day5_vs_shSCR_Day0	ADORA2A	ADORA2A	7.62219939376015
ADORA3	13.0142334408006	3.74976869824024	1.24222241400664	3.01859687601821	0.00253948195392147	0.0215201578428169	shSCR_Day5_vs_shSCR_Day0	ADORA3	ADORA3	13.4521857338417
ADRA1D	10.7614011087486	3.09294991164231	1.1338352200751	2.72786544012757	0.00637456053731494	0.0414266218140186	shSCR_Day5_vs_shSCR_Day0	ADRA1D	ADRA1D	8.53239000884254
ADRA2A	36.8364679404405	5.46640093179385	1.14016513635818	4.79439403773927	1.63167280587756e-06	0.000100715166460004	shSCR_Day5_vs_shSCR_Day0	ADRA2A	ADRA2A	44.2130676546327
ADRB1	38.3686926621764	5.54041546839873	1.22102082348874	4.53752742116919	5.69176314330657e-06	0.000251949961083568	shSCR_Day5_vs_shSCR_Day0	ADRB1	ADRB1	46.5405213987849
ADRB2	75.3741494070879	2.36293827177339	0.611810203591332	3.86220801467991	0.000112366825309012	0.00225505080895404	shSCR_Day5_vs_shSCR_Day0	ADRB2	ADRB2	5.14416982672466
AEBP2	801.099003668766	1.13395831427749	0.296792398364392	3.82071212243534	0.000133066900942886	0.0025867070217166	shSCR_Day5_vs_shSCR_Day0	AEBP2	AEBP2	2.19460046270818
AEN	1538.14774322288	1.65524497952973	0.545822858104325	3.03256808496166	0.00242482389729547	0.0208263583356151	shSCR_Day5_vs_shSCR_Day0	AEN	AEN	3.1497667128964
AFF2	103.107421566763	2.37409662838652	0.837991797781477	2.83307859894544	0.00461020487136562	0.033098194658048	shSCR_Day5_vs_shSCR_Day0	AFF2	AFF2	5.18411106990882
AGRN	238.375084077349	2.50778754055683	0.488885791730497	5.12959792036515	2.90361702242161e-07	2.646219913434e-05	shSCR_Day5_vs_shSCR_Day0	AGRN	AGRN	5.68747201133113
AHCY	2454.0346749436	-1.07402699497086	0.221820577238895	-4.84187268980983	1.28621164293371e-06	8.58934352757412e-05	shSCR_Day5_vs_shSCR_Day0	AHCY	AHCY	0.474991303560243
AHNAK2	55.7694254243138	2.92785824133183	0.580375250088131	5.04476757216513	4.54072995489647e-07	3.70260679953742e-05	shSCR_Day5_vs_shSCR_Day0	AHNAK2	AHNAK2	7.60979843800543
AK5	196.76195009848	-1.4409295437466	0.314092644801567	-4.5875940350559	4.48383480768093e-06	0.000209241122516267	shSCR_Day5_vs_shSCR_Day0	AK5	AK5	0.368329908978159
AKAP2	55.259489217584	5.39550273838585	1.0831962900662	4.9810941819752	6.3225757360347e-07	4.72121374895344e-05	shSCR_Day5_vs_shSCR_Day0	AKAP2	AKAP2	42.0928339323153
AKAP6	77.4939995943449	1.39051621941892	0.369443415070606	3.76381378770324	0.000167341513382508	0.00305834801551401	shSCR_Day5_vs_shSCR_Day0	AKAP6	AKAP6	2.62172473505296
ALDH4A1	505.408978345053	1.09153438238078	0.289487597399475	3.77057391123576	0.000162872554545041	0.00301119867251351	shSCR_Day5_vs_shSCR_Day0	ALDH4A1	ALDH4A1	2.13100559711081
ALG1L9P	11.6690108701671	2.39730179713434	0.858979921695665	2.79087058566161	0.00525664855363199	0.0362928948491179	shSCR_Day5_vs_shSCR_Day0	ALG1L9P	ALG1L9P	5.26816962049837
ALOX5	46.2135464030932	3.11499695493476	0.652976497031028	4.77045800131875	1.83807508315624e-06	0.00010952806639746	shSCR_Day5_vs_shSCR_Day0	ALOX5	ALOX5	8.66378207773053
ALOX5AP	62.1439885107925	3.94332391378466	0.727702904976709	5.41886515337034	5.99785332188372e-08	8.08041230573431e-06	shSCR_Day5_vs_shSCR_Day0	ALOX5AP	ALOX5AP	15.3836283976294
AMY2B	57.4604883148191	1.52615862767871	0.542118476200451	2.81517545458901	0.00487506098530723	0.034300326905252	shSCR_Day5_vs_shSCR_Day0	AMY2B	AMY2B	2.88017930204008
AMZ2P1	124.493088482796	2.18530694212067	0.396509191102844	5.51136516165613	3.56061146770211e-08	5.25376699705798e-06	shSCR_Day5_vs_shSCR_Day0	AMZ2P1	AMZ2P1	4.54823545469356
ANAPC11	509.311537996228	-1.22866363923796	0.238252721511138	-5.15697630417425	2.5096954869272e-07	2.41507529061882e-05	shSCR_Day5_vs_shSCR_Day0	ANAPC11	ANAPC11	0.426712524423566
ANAPC15	243.751266935889	-1.23980557440093	0.299666959822917	-4.13727818086307	3.51449930002891e-05	0.000984631784002674	shSCR_Day5_vs_shSCR_Day0	ANAPC15	ANAPC15	0.423429716077363
ANK1	213.906351140621	4.31658161038275	0.907289350093353	4.75766811319742	1.95842139765935e-06	0.00011467198777186	shSCR_Day5_vs_shSCR_Day0	ANK1	ANK1	19.9260191542961
ANKLE1	453.872887265759	-1.01233794551256	0.253682924717881	-3.99056399494909	6.59163598659195e-05	0.00153339664174578	shSCR_Day5_vs_shSCR_Day0	ANKLE1	ANKLE1	0.495742226143905
ANKRD18B	440.418704489925	-1.02076386796424	0.267258243778582	-3.81939151261477	0.000133781281536057	0.00259416669200235	shSCR_Day5_vs_shSCR_Day0	ANKRD18B	ANKRD18B	0.492855329597238
ANKRD20A2	34.0682194054134	-3.80596272999373	1.13506212015952	-3.35308760850803	0.000799154065398971	0.00946560706358403	shSCR_Day5_vs_shSCR_Day0	ANKRD20A2	ANKRD20A2	0.0714975328400281
ANKRD65	21.5812270681856	3.40859485106219	1.20228028956333	2.83510831929234	0.00458101504345528	0.0329191401058685	shSCR_Day5_vs_shSCR_Day0	ANKRD65	ANKRD65	10.6191386984597
ANTXR1	30.2026431710893	4.73141324270841	1.6267163202222	2.90856689878302	0.00363089482660718	0.0278334069449681	shSCR_Day5_vs_shSCR_Day0	ANTXR1	ANTXR1	26.5642346559594
AP1S3	164.614147287429	1.1856190898248	0.302589811596508	3.91823863324843	8.91983778222874e-05	0.00189828360934162	shSCR_Day5_vs_shSCR_Day0	AP1S3	AP1S3	2.27460981847289
AP3B2	29.6312152198072	5.78112365768178	1.64812444825886	3.5076985016448	0.000452000999101126	0.0061951629480667	shSCR_Day5_vs_shSCR_Day0	AP3B2	AP3B2	54.9910015568821
APBA2	780.970292689242	-1.35912944555904	0.262987462811633	-5.16803892865619	2.3656304395975e-07	2.31966534181545e-05	shSCR_Day5_vs_shSCR_Day0	APBA2	APBA2	0.389817443434877
APC2	5.90487302219408	7.28342469640328	2.42070348247594	3.0088049813328	0.00262277412351918	0.0218953013238299	shSCR_Day5_vs_shSCR_Day0	APC2	APC2	155.786315081683
APLP2	1111.37518062458	2.1593487552565	0.376730232848492	5.73181700584385	9.93604377058113e-09	2.0802584613191e-06	shSCR_Day5_vs_shSCR_Day0	APLP2	APLP2	4.46713159610295
APOBEC3H	88.5956735038047	4.329667953703	0.817811381859017	5.29421337211151	1.19529805415387e-07	1.34482173731564e-05	shSCR_Day5_vs_shSCR_Day0	APOBEC3H	APOBEC3H	20.1075855590804
APOD	150.788704127434	2.13349931078366	0.510636550627028	4.17811711316761	2.93932304078736e-05	0.000860849373741372	shSCR_Day5_vs_shSCR_Day0	APOD	APOD	4.38780469263815
APOE	45.7792567494388	2.95309185251183	0.724726378963028	4.07476799276611	4.60602437341793e-05	0.00119733449022423	shSCR_Day5_vs_shSCR_Day0	APOE	APOE	7.74406924350894
AQP3	98.6540291979611	2.21628206207903	0.482320821225	4.59503708848836	4.3267230422105e-06	0.000205625521757568	shSCR_Day5_vs_shSCR_Day0	AQP3	AQP3	4.64694336527809
ARAP3	29.5239660853633	2.85573327210814	0.805564667026376	3.54500810301135	0.000392601016743002	0.00560089093222775	shSCR_Day5_vs_shSCR_Day0	ARAP3	ARAP3	7.23871327382542
ARHGAP11A	1057.32501782103	-1.15523260397262	0.361928586506609	-3.19187996483811	0.00141350061066999	0.014233708557159	shSCR_Day5_vs_shSCR_Day0	ARHGAP11A	ARHGAP11A	0.448993789881442
ARHGAP11B	179.670388492173	-1.30568821238204	0.341875910935623	-3.81918751984813	0.000133891952585301	0.00259416669200235	shSCR_Day5_vs_shSCR_Day0	ARHGAP11B	ARHGAP11B	0.404528089204699
ARHGAP6	119.87936136296	2.88528274084147	0.833905310086075	3.45996446592198	0.000540246675183457	0.00704548967897079	shSCR_Day5_vs_shSCR_Day0	ARHGAP6	ARHGAP6	7.38850635094297
ARHGEF12	220.90084677545	5.80839819075862	0.798961673809368	7.26993344131862	3.59664668599295e-13	5.57228471060887e-10	shSCR_Day5_vs_shSCR_Day0	ARHGEF12	ARHGEF12	56.0405104160466
ARHGEF39	200.300753673761	-1.09581861574429	0.366876651602541	-2.98688567658282	0.00281835094406146	0.0228970693111401	shSCR_Day5_vs_shSCR_Day0	ARHGEF39	ARHGEF39	0.467870568706344
ARL6IP4	1894.25888638874	-1.0087447023852	0.16830347621792	-5.99360586634035	2.05238447684878e-09	5.83847868729511e-07	shSCR_Day5_vs_shSCR_Day0	ARL6IP4	ARL6IP4	0.496978483607409
ARMC6	641.635885734648	-1.04305541716383	0.186774214127801	-5.58457933839899	2.34266554606416e-08	3.7314293096449e-06	shSCR_Day5_vs_shSCR_Day0	ARMC6	ARMC6	0.485298593115438
ARMC9	92.735582202	-1.18853309327242	0.339403567808701	-3.50182851920496	0.000462076916252262	0.0063040465508784	shSCR_Day5_vs_shSCR_Day0	ARMC9	ARMC9	0.438748745877955
ARMCX2	15.8430349872262	7.40508214624351	2.34895788848849	3.15249676570769	0.00161880614904203	0.0156165402659453	shSCR_Day5_vs_shSCR_Day0	ARMCX2	ARMCX2	169.49303109364
ARMCX4	169.140410855034	1.11016334150688	0.31452480829101	3.52965270860197	0.000416105487986518	0.00588204591731307	shSCR_Day5_vs_shSCR_Day0	ARMCX4	ARMCX4	2.15870086664873
ARNT2	13.3718585360784	4.73949889411163	1.75909180355068	2.69428740702735	0.00705393100738996	0.0442515225374967	shSCR_Day5_vs_shSCR_Day0	ARNT2	ARNT2	26.713533127924
ARNTL	40.675011939962	4.32519174084321	1.34686787971357	3.21129622733525	0.0013213764683955	0.0135857583969392	shSCR_Day5_vs_shSCR_Day0	ARNTL	ARNTL	20.0452949533636
ARRDC4	151.069902192097	2.84624111449902	0.458043365423729	6.21391188990589	5.16815149183924e-10	2.18918794456773e-07	shSCR_Day5_vs_shSCR_Day0	ARRDC4	ARRDC4	7.19124276929831
ARRDC5	17.7541101610053	2.89619258265912	0.797586364973703	3.63119620626239	0.00028211060217297	0.00444180849539209	shSCR_Day5_vs_shSCR_Day0	ARRDC5	ARRDC5	7.44459095980416
ARSA	251.275004350901	1.017174028969	0.338142636399161	3.0081211875579	0.00262868290784517	0.0219153068891333	shSCR_Day5_vs_shSCR_Day0	ARSA	ARSA	2.02395053180486
ASB1	469.778786837762	1.30757844533289	0.195618502783962	6.68432907278183	2.31984990639563e-11	1.59985663458528e-08	shSCR_Day5_vs_shSCR_Day0	ASB1	ASB1	2.47525720725276
ASB2	21.420725933502	3.03061140410532	0.979286867943281	3.09471259475813	0.00197003693004328	0.0180069511251685	shSCR_Day5_vs_shSCR_Day0	ASB2	ASB2	8.1715593218524
ASPM	1128.65707358183	-1.9580362164857	0.718443120936943	-2.7253879387587	0.00642259744184678	0.0415818228861396	shSCR_Day5_vs_shSCR_Day0	ASPM	ASPM	0.25737855971206
ATF3	842.514121832176	2.64932902563131	0.750224564006941	3.53138133931695	0.00041339529532169	0.00585977430047478	shSCR_Day5_vs_shSCR_Day0	ATF3	ATF3	6.27375428186697
ATF5	507.121725394502	1.22406061516858	0.209383668178631	5.84601762790929	5.03480714505768e-09	1.18188283482392e-06	shSCR_Day5_vs_shSCR_Day0	ATF5	ATF5	2.33603293613297
ATP2A1	106.262351436971	3.04293629598446	0.525590339216053	5.78955903284518	7.05714512610951e-09	1.56194784912592e-06	shSCR_Day5_vs_shSCR_Day0	ATP2A1	ATP2A1	8.2416676997142
ATP6V0A1	485.854938651358	1.36216143258281	0.206041211014498	6.6111115629531	3.81444873585565e-11	2.18878719498562e-08	shSCR_Day5_vs_shSCR_Day0	ATP6V0A1	ATP6V0A1	2.57070031131494
ATP7A	604.622416498663	1.51506828852932	0.372979156178277	4.06207227249222	4.86390126783444e-05	0.00124145671075056	shSCR_Day5_vs_shSCR_Day0	ATP7A	ATP7A	2.85812356270561
ATP7B	101.877773393356	1.34699845576902	0.418195794041152	3.22097561707297	0.00127755016717908	0.013287632164469	shSCR_Day5_vs_shSCR_Day0	ATP7B	ATP7B	2.54382329062976
ATP9A	358.385609241992	1.56903787171785	0.35939757267936	4.36574420917885	1.26690668179138e-05	0.000456469423744044	shSCR_Day5_vs_shSCR_Day0	ATP9A	ATP9A	2.96706775418964
ATXN1L	1043.3720618419	1.01762874054453	0.251604192329982	4.04456194120127	5.24210480211063e-05	0.00130782495489694	shSCR_Day5_vs_shSCR_Day0	ATXN1L	ATXN1L	2.02458854521549
AVPI1	49.2595007446955	1.32830401849408	0.46775679542878	2.83973216738939	0.00451514256893162	0.0326426056091729	shSCR_Day5_vs_shSCR_Day0	AVPI1	AVPI1	2.51107308414586
AVPR1A	133.824453352339	-2.18434436054165	0.627763872433863	-3.479563664715	0.000502231023668279	0.00674252495282169	shSCR_Day5_vs_shSCR_Day0	AVPR1A	AVPR1A	0.220012231844657
AXL	31.3809631127328	4.63641555696511	1.66771580979503	2.78009930093242	0.00543422783894544	0.0371710781054224	shSCR_Day5_vs_shSCR_Day0	AXL	AXL	24.8713955793962
B3GNT3	41.6333943047827	-2.02971010837172	0.602535845735294	-3.36861304225775	0.00075547410463437	0.00911570117063886	shSCR_Day5_vs_shSCR_Day0	B3GNT3	B3GNT3	0.244904279922567
BACE2	6.13837363774235	6.72524269396232	2.48630214414617	2.70491770672219	0.00683213126025185	0.0432571351103727	shSCR_Day5_vs_shSCR_Day0	BACE2	BACE2	105.803437759933
BAG2	270.273326833176	-1.24943315141192	0.272080437928539	-4.59214620839472	4.38710830459712e-06	0.00020596808776704	shSCR_Day5_vs_shSCR_Day0	BAG2	BAG2	0.42061343818036
BAG3	139.544962511421	1.34577529907391	0.408504801825386	3.29439285183521	0.000986345408703269	0.0110415096943929	shSCR_Day5_vs_shSCR_Day0	BAG3	BAG3	2.54166748100392
BAI2	22.5588096804246	4.34016989764933	1.51054551563661	2.87324668652582	0.00406276743156417	0.0301747151568666	shSCR_Day5_vs_shSCR_Day0	BAI2	BAI2	20.2544906144661
BAIAP2L1	266.812428522156	1.77737675217563	0.411810973533326	4.31600143368156	1.58880947096165e-05	0.000540998354584811	shSCR_Day5_vs_shSCR_Day0	BAIAP2L1	BAIAP2L1	3.42802291223826
BASP1	43.0108060290477	4.13290926282271	0.85559107552441	4.83047261834699	1.36209345998827e-06	8.90418311206678e-05	shSCR_Day5_vs_shSCR_Day0	BASP1	BASP1	17.5440419638957
BAX	1126.14727596842	1.61960364248838	0.376309025305328	4.30391920888497	1.67802877024245e-05	0.000562720773536067	shSCR_Day5_vs_shSCR_Day0	BAX	BAX	3.07290601455303
BBC3	461.992759593557	4.06309077668315	0.911680864936559	4.45670292418158	8.32298151847111e-06	0.000338446069988643	shSCR_Day5_vs_shSCR_Day0	BBC3	BBC3	16.7152239214063
BBS4	95.4384885554278	1.0535229010139	0.308651558591454	3.41330821662361	0.000641793126604278	0.00805125579795957	shSCR_Day5_vs_shSCR_Day0	BBS4	BBS4	2.07559202967325
BCAS1	24.2363317679582	2.13534298393469	0.7382151133284	2.8925755452324	0.00382097280109735	0.0289505190769575	shSCR_Day5_vs_shSCR_Day0	BCAS1	BCAS1	4.39341561436836
BCL2L11	631.910222558371	1.09954356213374	0.313044832614092	3.5124156273463	0.000444052971666077	0.00612619117544304	shSCR_Day5_vs_shSCR_Day0	BCL2L11	BCL2L11	2.14286885992263
BCL6	120.576307774315	3.53580182161882	0.625299852049934	5.65457005951198	1.56236861102825e-08	3.04183109941535e-06	shSCR_Day5_vs_shSCR_Day0	BCL6	BCL6	11.5979813761734
BCOR	1364.80671753866	1.20215035856888	0.255739137871307	4.70068980671165	2.59284124240849e-06	0.000138065110660585	shSCR_Day5_vs_shSCR_Day0	BCOR	BCOR	2.30082356746026
BCYRN1	152.149316932339	-1.32777401082719	0.484683728943922	-2.73946479226832	0.0061539305625046	0.0404607451047117	shSCR_Day5_vs_shSCR_Day0	BCYRN1	BCYRN1	0.398382447379104
BFSP1	65.6702829977304	-1.16362924566107	0.40277362341653	-2.88904033931163	0.00386419499138156	0.02914701704064	shSCR_Day5_vs_shSCR_Day0	BFSP1	BFSP1	0.446388187103444
BGN	200.446437558262	4.91962598021737	0.956586075975682	5.14289942512443	2.70530466401325e-07	2.52489669635887e-05	shSCR_Day5_vs_shSCR_Day0	BGN	BGN	30.2659971953193
BHLHE40	393.510937540628	2.04878115065185	0.345453612053869	5.930698302649	3.01649027228814e-09	7.92109894721357e-07	shSCR_Day5_vs_shSCR_Day0	BHLHE40	BHLHE40	4.1375626316962
BIRC5	1106.18308571885	-1.14264792335584	0.365341960618842	-3.12761206355915	0.00176232621996344	0.0166598724622223	shSCR_Day5_vs_shSCR_Day0	BIRC5	BIRC5	0.452927510875181
BLNK	86.1709865052342	2.55048436336177	0.712924680099475	3.57749483859347	0.000346903067211771	0.00511863735267807	shSCR_Day5_vs_shSCR_Day0	BLNK	BLNK	5.85830929369905
BLOC1S2	738.459655898994	1.41606262614969	0.342040227373499	4.14004702611599	3.47234631299503e-05	0.000978128389586037	shSCR_Day5_vs_shSCR_Day0	BLOC1S2	BLOC1S2	2.66856217682802
BMS1P2	78.0229506933016	1.43193554648382	0.416809506133689	3.43546758270081	0.000591532229364112	0.00754784590192729	shSCR_Day5_vs_shSCR_Day0	BMS1P2	BMS1P2	2.69808452697487
BRMS1L	102.932256224036	1.02716817710439	0.328304051886758	3.12871002109562	0.00175575486344317	0.0166576301894213	shSCR_Day5_vs_shSCR_Day0	BRMS1L	BRMS1L	2.03801995440081
